任务id,子任务ID,（LV),任务所在场景,接NPC(ID),接场景ID,交NPC(ID),交场景ID,iconclass,任务名称,任务描述,任务条件描述,完成条件,新增上缴材料,累计完成条件,图标显示用type,奖励用户属性,奖励道具,奖励装饰物
2124,3124,33,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2125,3125,33,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2126,3126,33,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/20个红水晶,,1/type:2;id:8313;num:20;,,1/cat:1;id:8313;num:20;,exp:240;,"[[21,1]]",[]
2127,3127,33,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/18次魔法,1/type:3;id:0;num:18;,0,0,0,exp:360;,"[[21,1]]",[]
2128,3128,34,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个圆窗木门,合成1个圆窗木门<!1@>/1,1/type:1;id:192003;num:1;,,,,exp:350;,"[[21,1]]",[]
2129,3129,34,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/9,,,1/invite_friends_num:>=9;,,exp:240;,"[[21,1]]",[]
2130,3130,34,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/1000G,1/type:9;id:0;num:1000;,,,,exp:150;,"[[21,1]]",[]
2131,3131,34,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/16种以上的魔法,,,1/study_magic_num:>=16;,,exp:350;,"[[21,1]]",[]
2132,3132,34,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/35级,,,1/level:>=35;,,exp:240;,"[[21,1]]",[]
2133,3133,34,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2134,3134,35,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/1000G,1/type:9;id:0;num:1000;,,,,exp:150;,"[[21,1]]",[]
2135,3135,35,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/17种以上的魔法,,,1/study_magic_num:>=17;,,exp:350;,"[[21,1]]",[]
2136,3136,35,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/25个红水晶,,1/type:2;id:8313;num:25;,,1/cat:1;id:8313;num:25;,exp:350;,"[[21,1]]",[]
2137,3137,35,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/37级,,,1/level:>=37;,,exp:240;,"[[21,1]]",[]
2138,3138,35,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/19次魔法,1/type:3;id:0;num:19;,0,0,0,exp:360;,"[[21,1]]",[]
2139,3139,35,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2140,3140,36,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2141,3141,36,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/20次魔法,1/type:3;id:0;num:20;,0,0,0,exp:500;,"[[21,1]]",[]
2142,3142,36,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2143,3143,36,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2144,3144,36,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2145,3145,36,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/30个红水晶,,1/type:2;id:8313;num:30;,,1/cat:1;id:8313;num:30;,exp:350;,"[[21,1]]",[]
2146,3146,37,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成10个蓝白格地砖,合成10个蓝白格地砖<!1@>/10,1/type:1;id:193002;num:10;,,,,exp:500;,"[[21,1]]",[]
2147,3147,37,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成3个蓝色墙纸,合成3个蓝色墙纸<!1@>/3,1/type:1;id:194002;num:3;,,,,exp:500;,"[[21,1]]",[]
2148,3148,37,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/10,,,1/invite_friends_num:>=10;,,exp:240;,"[[21,1]]",[]
2149,3149,37,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2150,3150,37,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/18种以上的魔法,,,1/study_magic_num:>=18;,,exp:350;,"[[21,1]]",[]
2151,3151,37,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/38级,,,1/level:>=38;,,exp:360;,"[[21,1]]",[]
2152,3152,38,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2153,3153,38,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/1500G,1/type:9;id:0;num:1500;,,,,exp:240;,"[[21,1]]",[]
2154,3154,38,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/19种以上的魔法,,,1/study_magic_num:>=19;,,exp:350;,"[[21,1]]",[]
2155,3155,38,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/35个红水晶,,1/type:2;id:8313;num:35;,,1/cat:1;id:8313;num:35;,exp:350;,"[[21,1]]",[]
2156,3156,38,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/39级,,,1/level:>=39;,,exp:360;,"[[21,1]]",[]
2157,3157,38,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/21次魔法,1/type:3;id:0;num:21;,0,0,0,exp:500;,"[[21,1]]",[]
2158,3158,39,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2159,3159,39,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2160,3160,39,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/40个红水晶,,1/type:2;id:8313;num:40;,,1/cat:1;id:8313;num:40;,exp:350;,"[[21,1]]",[]
2161,3161,39,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/22次魔法,1/type:3;id:0;num:22;,0,0,0,exp:500;,"[[21,1]]",[]
2162,3162,39,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个木制烛台,合成1个木制烛台<!1@>/1,1/type:1;id:195009;num:1;,,,,exp:500;,"[[21,1]]",[]
2163,3163,39,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/11,,,1/invite_friends_num:>=11;,,exp:240;,"[[21,1]]",[]
2164,3164,40,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/1500G,1/type:9;id:0;num:1500;,,,,exp:240;,"[[21,1]]",[]
2165,3165,40,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/20种以上的魔法,,,1/study_magic_num:>=20;,,exp:500;,"[[21,1]]",[]
2166,3166,40,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/41级,,,1/level:>=41;,,exp:360;,"[[21,1]]",[]
2167,3167,40,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2168,3168,40,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/1500G,1/type:9;id:0;num:1500;,,,,exp:240;,"[[21,1]]",[]
2169,3169,40,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/23次魔法,1/type:3;id:0;num:23;,0,0,0,exp:500;,"[[21,1]]",[]
2170,3170,41,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2171,3171,41,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2172,3172,41,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2173,3173,41,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/5个绿水晶,,1/type:2;id:8314;num:5;,,1/cat:1;id:8314;num:5;,exp:500;,"[[21,1]]",[]
2174,3174,41,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个木制窗户,合成1个木制窗户<!1@>/1,1/type:1;id:197001;num:1;,,,,exp:700;,"[[21,1]]",[]
2175,3175,41,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个七彩画像,合成1个七彩画像<!1@>/1,1/type:1;id:197003;num:1;,,,,exp:700;,"[[21,1]]",[]
2176,3176,41,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/12,,,1/invite_friends_num:>=12;,,exp:240;,"[[21,1]]",[]
2177,3177,42,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2178,3178,42,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/21种以上的魔法,,,1/study_magic_num:>=21;,,exp:500;,"[[21,1]]",[]
2179,3179,42,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/43级,,,1/level:>=43;,,exp:500;,"[[21,1]]",[]
2180,3180,42,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2181,3181,42,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/1500G,1/type:9;id:0;num:1500;,,,,exp:240;,"[[21,1]]",[]
2182,3182,42,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/22种以上的魔法,,,1/study_magic_num:>=22;,,exp:500;,"[[21,1]]",[]
2183,3183,42,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/10个绿水晶,,1/type:2;id:8314;num:10;,,1/cat:1;id:8314;num:10;,exp:500;,"[[21,1]]",[]
2184,3184,43,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/44级,,,1/level:>=44;,,exp:500;,"[[21,1]]",[]
2185,3185,43,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/24次魔法,1/type:3;id:0;num:24;,0,0,0,exp:700;,"[[21,1]]",[]
2186,3186,43,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2187,3187,43,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2188,3188,43,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:360;,"[[21,1]]",[]
2189,3189,43,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/15个绿水晶,,1/type:2;id:8314;num:15;,,1/cat:1;id:8314;num:15;,exp:500;,"[[21,1]]",[]
2190,3190,43,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1石制窗户,合成1石制窗户<!1@>/1,1/type:1;id:197004;num:1;,,,,exp:700;,"[[21,1]]",[]
2191,3191,43,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个粗糙的魔法旗,合成1个粗糙的魔法旗<!1@>/1,1/type:1;id:197005;num:1;,,,,exp:700;,"[[21,1]]",[]
2192,3192,44,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/13,,,1/invite_friends_num:>=13;,,exp:350;,"[[21,1]]",[]
2193,3193,44,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2194,3194,44,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/23种以上的魔法,,,1/study_magic_num:>=23;,,exp:500;,"[[21,1]]",[]
2195,3195,44,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/45级,,,1/level:>=45;,,exp:500;,"[[21,1]]",[]
2196,3196,44,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2197,3197,44,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/1500G,1/type:9;id:0;num:1500;,,,,exp:240;,"[[21,1]]",[]
2198,3198,44,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/24种以上的魔法,,,1/study_magic_num:>=24;,,exp:500;,"[[21,1]]",[]
2199,3199,44,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/20个绿水晶,,1/type:2;id:8314;num:20;,,1/cat:1;id:8314;num:20;,exp:500;,"[[21,1]]",[]
2200,3200,45,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/47级,,,1/level:>=47;,,exp:500;,"[[21,1]]",[]
2201,3201,45,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/25次魔法,1/type:3;id:0;num:25;,0,0,0,exp:700;,"[[21,1]]",[]
2202,3202,45,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2203,3203,45,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:360;,"[[21,1]]",[]
2204,3204,45,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/25个绿水晶,,1/type:2;id:8314;num:25;,,1/cat:1;id:8314;num:25;,exp:500;,"[[21,1]]",[]
2205,3205,45,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>26次魔法,1/type:3;id:0;num:26;,0,0,0,exp:700;,"[[21,1]]",[]
2206,3206,45,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个老旧的石头壁炉,合成1个老旧的石头壁炉<!1@>/1,1/type:1;id:197006;num:1;,,,,exp:850;,"[[21,1]]",[]
2207,3207,45,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/14,,,1/invite_friends_num:>=14;,,exp:350;,"[[21,1]]",[]
2208,3208,48,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/2000G,1/type:9;id:0;num:2000;,,,,exp:360;,"[[21,1]]",[]
2209,3209,48,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/25种以上的魔法,,,1/study_magic_num:>=25;,,exp:700;,"[[21,1]]",[]
2210,3210,48,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/49级,,,1/level:>=49;,,exp:500;,"[[21,1]]",[]
2211,3211,48,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2212,3212,48,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/2000G,1/type:9;id:0;num:2000;,,,,exp:360;,"[[21,1]]",[]
2213,3213,48,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/27次魔法,1/type:3;id:0;num:27;,0,0,0,exp:700;,"[[21,1]]",[]
2214,3214,48,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2215,3215,48,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:360;,"[[21,1]]",[]
2216,3216,49,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:360;,"[[21,1]]",[]
2217,3217,49,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/30个绿水晶,,1/type:2;id:8314;num:30;,,1/cat:1;id:8314;num:30;,exp:700;,"[[21,1]]",[]
2218,3218,49,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个月亮石板,合成1个月亮石板<!1@>/1,1/type:1;id:197007;num:1;,,,,exp:850;,"[[21,1]]",[]
2219,3219,49,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个亚麻魔法旗,合成1个亚麻魔法旗<!1@>/1,1/type:1;id:197013;num:1;,,,,exp:850;,"[[21,1]]",[]
2220,3220,49,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/15,,,1/invite_friends_num:>=15;,,exp:350;,"[[21,1]]",[]
2221,3221,49,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2222,3222,49,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/26种以上的魔法,,,1/study_magic_num:>=26;,,exp:700;,"[[21,1]]",[]
2223,3223,49,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/50级,,,1/level:>=50;,,exp:500;,"[[21,1]]",[]
2224,3224,50,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2225,3225,50,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/2000G,1/type:9;id:0;num:2000;,,,,exp:360;,"[[21,1]]",[]
2226,3226,50,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/27种以上的魔法,,,1/study_magic_num:>=27;,,exp:700;,"[[21,1]]",[]
2227,3227,50,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/35个绿水晶,,1/type:2;id:8314;num:35;,,1/cat:1;id:8314;num:35;,exp:700;,"[[21,1]]",[]
2228,3228,50,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/51级,,,1/level:>=51;,,exp:1000;,"[[21,1]]",[]
2229,3229,50,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/28次魔法,1/type:3;id:0;num:28;,0,0,0,exp:700;,"[[21,1]]",[]
2230,3230,50,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2231,3231,50,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:360;,"[[21,1]]",[]
2232,3232,51,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/5个白水晶,,1/type:2;id:8315;num:5;,,1/cat:1;id:8315;num:5;,exp:700;,"[[21,1]]",[]
2233,3233,51,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/29次魔法,1/type:3;id:0;num:29;,0,0,0,exp:875;,"[[21,1]]",[]
2234,3234,51,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个萤火壁灯,合成1个萤火壁灯<!1@>/1,1/type:1;id:197014;num:1;,,,,exp:850;,"[[21,1]]",[]
2235,3235,51,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/16,,,1/invite_friends_num:>=16;,,exp:350;,"[[21,1]]",[]
2236,3236,51,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/2000G,1/type:9;id:0;num:2000;,,,,exp:360;,"[[21,1]]",[]
2237,3237,51,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/28种以上的魔法,,,1/study_magic_num:>=28;,,exp:700;,"[[21,1]]",[]
2238,3238,51,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/52级,,,1/level:>=52;,,exp:1000;,"[[21,1]]",[]
2239,3239,51,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2240,3240,52,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/2000G,1/type:9;id:0;num:2000;,,,,exp:360;,"[[21,1]]",[]
2241,3241,52,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/29种以上的魔法,,,1/study_magic_num:>=29;,,exp:700;,"[[21,1]]",[]
2242,3242,52,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/10个白水晶,,1/type:2;id:8315;num:10;,,1/cat:1;id:8315;num:10;,exp:700;,"[[21,1]]",[]
2243,3243,52,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/53级,,,1/level:>=53;,,exp:1000;,"[[21,1]]",[]
2244,3244,52,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/30次魔法,1/type:3;id:0;num:30;,0,0,0,exp:875;,"[[21,1]]",[]
2245,3245,52,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2246,3246,52,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:360;,"[[21,1]]",[]
2247,3247,52,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/31次魔法,1/type:3;id:0;num:31;,0,0,0,exp:875;,"[[21,1]]",[]
